Person,Picture,Code,DAFF,DACH,DPOW,TDAFF,TDACH,TDPOW,SDAFF,SDACH,SDPOW,Response1,Response2,can_gender
1,1,POW,1,0,-1,0,0,0,0,0,0,0,1,1
1,1,POW,0,1,-1,0,0,0,0,0,0,0,1,1
1,1,POW,0,0,1,0,0,0,0,0,0,1,0,1
1,2,POW,1,0,-1,0,0,1,0,0,1,0,1,1
1,2,POW,0,1,-1,0,0,1,0,0,1,0,1,1
1,2,POW,0,0,1,0,0,1,0,0,1,1,0,1
1,3,POW,1,0,-1,0,0,1,0,0,2,0,1,1
1,3,POW,0,1,-1,0,0,1,0,0,2,0,1,1
1,3,POW,0,0,1,0,0,1,0,0,2,1,0,1
1,4,POW,1,0,-1,0,0,1,0,0,3,0,1,1
1,4,POW,0,1,-1,0,0,1,0,0,3,0,1,1
1,4,POW,0,0,1,0,0,1,0,0,3,1,0,1
1,5,0,1,0,0,0,0,1,0,0,4,0,1,1
1,5,0,0,1,0,0,0,1,0,0,4,0,1,1
1,5,0,0,0,1,0,0,1,0,0,4,0,1,1
1,6,0,1,0,0,0,0,0,0,0,4,0,1,1
1,6,0,0,1,0,0,0,0,0,0,4,0,1,1
1,6,0,0,0,1,0,0,0,0,0,4,0,1,1
1,7,ACH,1,-1,0,0,0,0,0,0,4,0,1,1
1,7,ACH,0,1,-1,0,0,0,0,0,4,1,0,1
1,7,ACH,0,1,0,0,0,0,0,0,4,1,0,1
1,8,POW,1,0,-1,0,1,0,0,1,4,0,1,1
1,8,POW,0,1,-1,0,1,0,0,1,4,0,1,1
1,8,POW,0,0,1,0,1,0,0,1,4,1,0,1
1,9,ACH,1,-1,0,0,0,1,0,1,5,0,1,1
1,9,ACH,0,1,-1,0,0,1,0,1,5,1,0,1
1,9,ACH,0,1,0,0,0,1,0,1,5,1,0,1
1,10,POW,1,0,-1,0,1,0,0,2,5,0,1,1
1,10,POW,0,1,-1,0,1,0,0,2,5,0,1,1
1,10,POW,0,0,1,0,1,0,0,2,5,1,0,1
1,11,POW,1,0,-1,0,0,1,0,2,6,0,1,1
1,11,POW,0,1,-1,0,0,1,0,2,6,0,1,1
1,11,POW,0,0,1,0,0,1,0,2,6,1,0,1
1,12,POW,1,0,-1,0,0,1,0,2,7,0,1,1
1,12,POW,0,1,-1,0,0,1,0,2,7,0,1,1
1,12,POW,0,0,1,0,0,1,0,2,7,1,0,1
1,13,ACH,1,-1,0,0,0,1,0,2,8,0,1,1
1,13,ACH,0,1,-1,0,0,1,0,2,8,1,0,1
1,13,ACH,0,1,0,0,0,1,0,2,8,1,0,1
1,14,POW,1,0,-1,0,1,0,0,3,8,0,1,1
1,14,POW,0,1,-1,0,1,0,0,3,8,0,1,1
1,14,POW,0,0,1,0,1,0,0,3,8,1,0,1
1,15,POW,1,0,-1,0,0,1,0,3,9,0,1,1
1,15,POW,0,1,-1,0,0,1,0,3,9,0,1,1
1,15,POW,0,0,1,0,0,1,0,3,9,1,0,1
2,1,AFF,1,-1,0,0,0,0,0,0,0,1,0,0
2,1,AFF,1,0,-1,0,0,0,0,0,0,1,0,0
2,1,AFF,1,0,0,0,0,0,0,0,0,1,0,0
2,2,AFF,1,-1,0,1,0,0,1,0,0,1,0,0
2,2,AFF,1,0,-1,1,0,0,1,0,0,1,0,0
2,2,AFF,1,0,0,1,0,0,1,0,0,1,0,0
2,3,POW,1,0,-1,1,0,0,2,0,0,0,1,0
2,3,POW,0,1,-1,1,0,0,2,0,0,0,1,0
2,3,POW,0,0,1,1,0,0,2,0,0,1,0,0
2,4,POW,1,0,-1,0,0,1,2,0,1,0,1,0
2,4,POW,0,1,-1,0,0,1,2,0,1,0,1,0
2,4,POW,0,0,1,0,0,1,2,0,1,1,0,0
2,5,0,1,0,0,0,0,1,2,0,2,0,1,0
2,5,0,0,1,0,0,0,1,2,0,2,0,1,0
2,5,0,0,0,1,0,0,1,2,0,2,0,1,0
2,6,ACH,1,-1,0,0,0,0,2,0,2,0,1,0
2,6,ACH,0,1,-1,0,0,0,2,0,2,1,0,0
2,6,ACH,0,1,0,0,0,0,2,0,2,1,0,0
2,7,POW,1,0,-1,0,1,0,2,1,2,0,1,0
2,7,POW,0,1,-1,0,1,0,2,1,2,0,1,0
2,7,POW,0,0,1,0,1,0,2,1,2,1,0,0
2,8,POW,1,0,-1,0,0,1,2,1,3,0,1,0
2,8,POW,0,1,-1,0,0,1,2,1,3,0,1,0
2,8,POW,0,0,1,0,0,1,2,1,3,1,0,0
2,9,ACH,1,-1,0,0,0,1,2,1,4,0,1,0
2,9,ACH,0,1,-1,0,0,1,2,1,4,1,0,0
2,9,ACH,0,1,0,0,0,1,2,1,4,1,0,0
2,10,POW,1,0,-1,0,1,0,2,2,4,0,1,0
2,10,POW,0,1,-1,0,1,0,2,2,4,0,1,0
2,10,POW,0,0,1,0,1,0,2,2,4,1,0,0
2,11,POW,1,0,-1,0,0,1,2,2,5,0,1,0
2,11,POW,0,1,-1,0,0,1,2,2,5,0,1,0
2,11,POW,0,0,1,0,0,1,2,2,5,1,0,0
2,12,POW,1,0,-1,0,0,1,2,2,6,0,1,0
2,12,POW,0,1,-1,0,0,1,2,2,6,0,1,0
2,12,POW,0,0,1,0,0,1,2,2,6,1,0,0
2,13,0,1,0,0,0,0,1,2,2,7,0,1,0
2,13,0,0,1,0,0,0,1,2,2,7,0,1,0
2,13,0,0,0,1,0,0,1,2,2,7,0,1,0
2,14,POW,1,0,-1,0,0,0,2,2,7,0,1,0
2,14,POW,0,1,-1,0,0,0,2,2,7,0,1,0
2,14,POW,0,0,1,0,0,0,2,2,7,1,0,0
2,15,POW,1,0,-1,0,0,1,2,2,8,0,1,0
2,15,POW,0,1,-1,0,0,1,2,2,8,0,1,0
2,15,POW,0,0,1,0,0,1,2,2,8,1,0,0
3,1,ACH,1,-1,0,0,0,0,0,0,0,0,1,0
3,1,ACH,0,1,-1,0,0,0,0,0,0,1,0,0
3,1,ACH,0,1,0,0,0,0,0,0,0,1,0,0
3,2,AFF,1,-1,0,0,1,0,0,1,0,1,0,0
3,2,AFF,1,0,-1,0,1,0,0,1,0,1,0,0
3,2,AFF,1,0,0,0,1,0,0,1,0,1,0,0
3,3,POW,1,0,-1,1,0,0,1,1,0,0,1,0
3,3,POW,0,1,-1,1,0,0,1,1,0,0,1,0
3,3,POW,0,0,1,1,0,0,1,1,0,1,0,0
3,4,POW,1,0,-1,0,0,1,1,1,1,0,1,0
3,4,POW,0,1,-1,0,0,1,1,1,1,0,1,0
3,4,POW,0,0,1,0,0,1,1,1,1,1,0,0
3,5,POW,1,0,-1,0,0,1,1,1,2,0,1,0
3,5,POW,0,1,-1,0,0,1,1,1,2,0,1,0
